,k,normalize,meka,weka,macro_fscore,model_size,hypervolume,runtime
0,0,False,meka.classifiers.multilabel.PS -P 4 -N 5,weka.classifiers.rules.PART -- -M 25 -R -N 4,0.251,7281,696981713.283,176.12139718199978
1,0,False,meka.classifiers.multilabel.PS -P 4 -N 4,weka.classifiers.rules.PART -- -M 25,0.496,20426,696981713.283,176.12139718199978
2,1,False,meka.classifiers.multilabel.RAkEL -N 3 -P 4 -k 3 -M 7,weka.classifiers.functions.SimpleLogistic -- -W 0.1 -A,0.697,102598,696981713.283,176.12139718199978
3,1,False,meka.classifiers.multilabel.RAkEL -N 3 -P 4 -k 3 -M 7,weka.classifiers.functions.Logistic -- -R 10.0,0.666,84307,696981713.283,176.12139718199978
4,2,False,meka.classifiers.multilabel.PS -P 5 -N 1,weka.classifiers.functions.SimpleLogistic -- -W 0.1 -A,0.557,21474,696981713.283,176.12139718199978
5,2,False,meka.classifiers.multilabel.PS -P 1 -N 3,weka.classifiers.functions.SimpleLogistic -- -W 0.1 -A,0.61,42324,696981713.283,176.12139718199978
