id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
11;flags;0;False;meka.classifiers.multilabel.CT -X Hbf -Iy 36 -Is 0 -P 'Macro Recall' -H 1;weka.classifiers.functions.SGD -- -F 0 -L 0.001 -R 1e-08 -N;51620;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;flags;0;False;meka.classifiers.multilabel.CDN -Ic 4 -I 372;weka.classifiers.trees.LMT -- -M 5 -R -P -W 0.43;266520;success;0.485;0.485;0.621;0.025;0.515;0.379;0.975;0.482;0.1;0.325;0.666;0.608;0.801;0.571;0.763;0.506;0.683;0.654;0.57;0.564;0.609;1.466;0.237;1.703;"[""0.850"", ""0.525"", ""0.625"", ""0.575"", ""0.600"", ""0.525"", ""0.650""]";"[""0.441"", ""0.521"", ""0.623"", ""0.460"", ""0.314"", ""0.491"", ""0.505""]";"[""0.865"", ""0.478"", ""0.591"", ""0.500"", ""0.733"", ""0.222"", ""0.154""]";"[""0.970"", ""0.611"", ""0.684"", ""0.941"", ""0.733"", ""0.444"", ""0.400""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.925"", ""0.575"", ""0.550"", ""0.800"", ""0.750"", ""0.450"", ""0.325""]";"[""-0.100"", ""-0.125"", ""-0.075"", ""-0.375"", ""0.000"", ""-0.225"", ""-0.200""]"
13;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 30 -depth 3 -N 0;16454;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.trees.REPTree -- -M 2 -L 3;13128;success;0.513;0.513;0.575;0.025;0.487;0.425;0.975;0.373;0.175;0.335;0.527;0.827;1.568;0.525;0.962;0.45;0.857;0.679;0.57;0.468;0.5;0.513;0.002;0.515;"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.875""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.000""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000""]";"[""-0.175"", ""-0.550"", ""-0.525"", ""-0.575"", ""-0.250"", ""-0.775"", ""0.125""]"
15;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 28 -depth 3 -N 0;16454;success;0.565;0.565;0.718;0.075;0.435;0.282;0.925;0.655;0.275;0.24;0.785;0.523;0.575;0.673;0.771;0.536;0.633;0.719;0.58;0.626;0.66;0.585;0.003;0.588;"[""0.825"", ""0.650"", ""0.625"", ""0.550"", ""0.725"", ""0.775"", ""0.875""]";"[""0.000"", ""0.651"", ""0.623"", ""0.553"", ""0.181"", ""0.668"", ""0.000""]";"[""0.825"", ""0.600"", ""0.591"", ""0.476"", ""0.757"", ""0.500"", ""0.000""]";"[""1.000"", ""0.667"", ""0.684"", ""0.588"", ""0.933"", ""0.556"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.500"", ""0.550"", ""0.525"", ""0.925"", ""0.250"", ""0.000""]";"[""-0.175"", ""-0.050"", ""-0.075"", ""-0.100"", ""-0.175"", ""-0.025"", ""0.125""]"
16;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 16 -K 30 -depth 0 -N 0;17615;success;0.564;0.564;0.714;0.075;0.436;0.286;0.925;0.698;0.275;0.248;0.775;0.533;0.597;0.673;0.756;0.525;0.601;0.712;0.558;0.627;0.647;0.578;0.012;0.59;"[""0.825"", ""0.650"", ""0.625"", ""0.550"", ""0.725"", ""0.750"", ""0.875""]";"[""0.000"", ""0.651"", ""0.623"", ""0.553"", ""0.181"", ""0.482"", ""0.000""]";"[""0.825"", ""0.600"", ""0.591"", ""0.476"", ""0.757"", ""0.429"", ""0.000""]";"[""1.000"", ""0.667"", ""0.684"", ""0.588"", ""0.933"", ""0.333"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.500"", ""0.550"", ""0.525"", ""0.925"", ""0.175"", ""0.000""]";"[""-0.175"", ""-0.050"", ""-0.075"", ""-0.100"", ""-0.175"", ""0.050"", ""0.125""]"
18;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 16 -K 30 -depth 3 -N 0;17615;success;0.564;0.564;0.714;0.075;0.436;0.286;0.925;0.698;0.275;0.248;0.775;0.533;0.597;0.673;0.756;0.525;0.601;0.712;0.558;0.627;0.647;0.264;0.003;0.267;"[""0.825"", ""0.650"", ""0.625"", ""0.550"", ""0.725"", ""0.750"", ""0.875""]";"[""0.000"", ""0.651"", ""0.623"", ""0.553"", ""0.181"", ""0.482"", ""0.000""]";"[""0.825"", ""0.600"", ""0.591"", ""0.476"", ""0.757"", ""0.429"", ""0.000""]";"[""1.000"", ""0.667"", ""0.684"", ""0.588"", ""0.933"", ""0.333"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.500"", ""0.550"", ""0.525"", ""0.925"", ""0.175"", ""0.000""]";"[""-0.175"", ""-0.050"", ""-0.075"", ""-0.100"", ""-0.175"", ""0.050"", ""0.125""]"
19;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 28 -depth 3 -N 0;16454;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 28 -depth 3 -N 0;16454;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
