id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
62;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;flags;1;False;meka.classifiers.multilabel.PSt -P 1 -N 0;weka.classifiers.functions.Logistic -- -R 0.0001;21100;success;0.565;0.565;0.704;0.146;0.435;0.296;0.854;0.675;0.22;0.22;0.808;0.588;1.015;0.688;0.703;0.688;0.597;0.695;0.607;0.612;0.579;4.952;0.007;4.959;"[""0.780"", ""0.707"", ""0.561"", ""0.610"", ""0.732"", ""0.610"", ""0.927""]";"[""0.454"", ""0.686"", ""0.560"", ""0.603"", ""0.304"", ""0.457"", ""0.400""]";"[""0.806"", ""0.688"", ""0.619"", ""0.611"", ""0.757"", ""0.333"", ""1.000""]";"[""0.935"", ""0.611"", ""0.565"", ""0.550"", ""0.933"", ""0.333"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.878"", ""0.390"", ""0.512"", ""0.439"", ""0.902"", ""0.293"", ""0.024""]";"[""-0.122"", ""0.049"", ""0.049"", ""0.049"", ""-0.171"", ""0.000"", ""0.073""]"
86;flags;1;False;meka.classifiers.multilabel.CT -X F -Iy 38 -Is 0 -P 'F1 (macro averaged by example)' -H -1 -L 3;weka.classifiers.trees.RandomTree -- -M 61 -K 4 -depth 0 -N 5;14657;success;0.433;0.433;0.659;0.073;0.567;0.341;0.927;0.596;0.244;0.29;0.671;0.664;1.268;0.744;0.442;0.213;0.286;0.555;0.244;0.481;0.5;0.473;0.032;0.505;"[""0.756"", ""0.561"", ""0.439"", ""0.512"", ""0.732"", ""0.707"", ""0.902""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.000"", ""0.000"", ""0.000"", ""0.732"", ""0.000"", ""0.000""]";"[""1.000"", ""0.000"", ""0.000"", ""0.000"", ""1.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.000"", ""0.000"", ""0.000"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.244"", ""0.439"", ""0.561"", ""0.488"", ""-0.268"", ""0.293"", ""0.098""]"
87;flags;1;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.SimpleLogistic -- -W 0.6000000000000001 -A;69487;success;0.594;0.594;0.725;0.098;0.406;0.275;0.902;0.678;0.22;0.223;0.809;0.548;0.548;0.69;0.775;0.693;0.705;0.73;0.655;0.634;0.672;0.801;0.012;0.813;"[""0.756"", ""0.780"", ""0.561"", ""0.585"", ""0.732"", ""0.756"", ""0.902""]";"[""0.000"", ""0.667"", ""0.000"", ""0.489"", ""0.000"", ""0.491"", ""0.826""]";"[""0.756"", ""1.000"", ""0.561"", ""0.636"", ""0.732"", ""0.667"", ""0.500""]";"[""1.000"", ""0.500"", ""1.000"", ""0.350"", ""1.000"", ""0.333"", ""0.750""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.220"", ""1.000"", ""0.268"", ""1.000"", ""0.146"", ""0.146""]";"[""-0.244"", ""0.220"", ""-0.439"", ""0.220"", ""-0.268"", ""0.146"", ""-0.049""]"
88;flags;1;False;meka.classifiers.multilabel.BCC -X Ibf;weka.classifiers.trees.J48 -- -M 6 -B -A -U;29539;success;0.529;0.529;0.69;0.098;0.471;0.31;0.902;0.652;0.293;0.327;0.648;0.603;1.152;0.676;0.681;0.627;0.609;0.679;0.614;0.563;0.601;0.661;0.004;0.665;"[""0.610"", ""0.854"", ""0.512"", ""0.585"", ""0.659"", ""0.732"", ""0.878""]";"[""0.315"", ""0.840"", ""0.475"", ""0.567"", ""0.493"", ""0.562"", ""0.395""]";"[""0.742"", ""0.875"", ""0.560"", ""0.560"", ""0.767"", ""0.556"", ""0.333""]";"[""0.742"", ""0.778"", ""0.609"", ""0.700"", ""0.767"", ""0.417"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.756"", ""0.390"", ""0.610"", ""0.610"", ""0.732"", ""0.220"", ""0.073""]";"[""0.000"", ""0.049"", ""-0.049"", ""-0.122"", ""0.000"", ""0.073"", ""0.024""]"
89;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 2.0 -E -O 3;10052;success;0.558;0.558;0.69;0.024;0.442;0.31;0.976;0.7;0.195;0.211;0.814;0.894;0.932;0.656;0.746;0.373;0.564;0.698;0.447;0.513;0.558;0.898;0.002;0.9;"[""0.756"", ""0.561"", ""0.561"", ""0.610"", ""0.732"", ""0.707"", ""0.902""]";"[""0.000"", ""0.000"", ""0.000"", ""0.439"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.000"", ""0.561"", ""0.559"", ""0.732"", ""0.000"", ""0.000""]";"[""1.000"", ""0.000"", ""1.000"", ""0.950"", ""1.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.000"", ""1.000"", ""0.829"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.244"", ""0.439"", ""-0.439"", ""-0.341"", ""-0.268"", ""0.293"", ""0.098""]"
90;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;0.633;0.633;0.763;0.146;0.367;0.237;0.854;0.752;0.244;0.248;0.716;0.461;0.88;0.743;0.775;0.774;0.658;0.759;0.667;0.615;0.635;0.468;0.004;0.472;"[""0.756"", ""0.902"", ""0.683"", ""0.634"", ""0.707"", ""0.732"", ""0.927""]";"[""0.000"", ""0.875"", ""0.623"", ""0.632"", ""0.303"", ""0.394"", ""0.400""]";"[""0.756"", ""1.000"", ""0.679"", ""0.632"", ""0.750"", ""0.600"", ""1.000""]";"[""1.000"", ""0.778"", ""0.826"", ""0.600"", ""0.900"", ""0.250"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.341"", ""0.683"", ""0.463"", ""0.878"", ""0.122"", ""0.024""]";"[""-0.244"", ""0.098"", ""-0.122"", ""0.024"", ""-0.146"", ""0.171"", ""0.073""]"
91;flags;1;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.SimpleLogistic -- -W 0.6000000000000001 -A;69487;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 2.0 -E -P -O 3;21314;success;0.506;0.506;0.652;0.098;0.494;0.348;0.902;0.626;0.317;0.324;0.679;0.836;1.032;0.634;0.652;0.528;0.542;0.643;0.529;0.499;0.517;0.529;0.001;0.53;"[""0.732"", ""0.585"", ""0.561"", ""0.585"", ""0.585"", ""0.634"", ""0.878""]";"[""0.181"", ""0.566"", ""0.549"", ""0.580"", ""0.163"", ""0.152"", ""0.395""]";"[""0.763"", ""0.529"", ""0.609"", ""0.565"", ""0.697"", ""0.200"", ""0.333""]";"[""0.935"", ""0.500"", ""0.609"", ""0.650"", ""0.767"", ""0.083"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.927"", ""0.415"", ""0.561"", ""0.561"", ""0.805"", ""0.122"", ""0.073""]";"[""-0.171"", ""0.024"", ""0.000"", ""-0.073"", ""-0.073"", ""0.171"", ""0.024""]"
94;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 2.0 -E -O 3;10052;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;flags;1;False;meka.classifiers.multilabel.CT -X F -Iy 38 -Is 0 -P 'F1 (macro averaged by example)' -H -1 -L 3;weka.classifiers.trees.RandomTree -- -M 61 -K 4 -depth 0 -N 5;14657;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S BestFirst -X 4;54748;success;0.586;0.586;0.725;0.098;0.414;0.275;0.902;0.714;0.244;0.274;0.676;0.536;1.022;0.701;0.746;0.722;0.629;0.723;0.632;0.579;0.594;1.139;0.003;1.142;"[""0.756"", ""0.829"", ""0.561"", ""0.634"", ""0.683"", ""0.683"", ""0.927""]";"[""0.000"", ""0.786"", ""0.459"", ""0.632"", ""0.165"", ""0.388"", ""0.400""]";"[""0.756"", ""0.923"", ""0.586"", ""0.632"", ""0.730"", ""0.429"", ""1.000""]";"[""1.000"", ""0.667"", ""0.739"", ""0.600"", ""0.900"", ""0.250"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.317"", ""0.707"", ""0.463"", ""0.902"", ""0.171"", ""0.024""]";"[""-0.244"", ""0.122"", ""-0.146"", ""0.024"", ""-0.171"", ""0.122"", ""0.073""]"
97;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E acc -I -S GreedyStepwise -X 4;92995;success;0.611;0.611;0.746;0.146;0.389;0.254;0.854;0.723;0.244;0.276;0.692;0.495;0.945;0.721;0.768;0.748;0.657;0.744;0.657;0.597;0.618;0.906;0.016;0.922;"[""0.756"", ""0.854"", ""0.561"", ""0.683"", ""0.732"", ""0.707"", ""0.927""]";"[""0.000"", ""0.851"", ""0.529"", ""0.601"", ""0.000"", ""0.554"", ""0.400""]";"[""0.756"", ""0.833"", ""0.600"", ""0.818"", ""0.732"", ""0.500"", ""1.000""]";"[""1.000"", ""0.833"", ""0.652"", ""0.450"", ""1.000"", ""0.417"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.439"", ""0.610"", ""0.268"", ""1.000"", ""0.244"", ""0.024""]";"[""-0.244"", ""0.000"", ""-0.049"", ""0.220"", ""-0.268"", ""0.049"", ""0.073""]"
98;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 2.0 -E -O 3;10052;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;0.554;0.554;0.655;0.024;0.446;0.345;0.976;0.61;0.244;0.218;0.796;0.9;0.946;0.595;0.884;0.425;0.714;0.711;0.527;0.481;0.5;0.612;0.004;0.616;"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.707"", ""0.902""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.000"", ""0.000""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.244"", ""-0.561"", ""-0.439"", ""-0.512"", ""-0.268"", ""0.293"", ""0.098""]"
101;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 2.0 -E -O 3;10052;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;flags;1;False;meka.classifiers.multilabel.BCC -X Ibf;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -P 1;89657;success;0.591;0.591;0.739;0.146;0.409;0.261;0.854;0.675;0.244;0.279;0.682;0.509;0.97;0.72;0.746;0.675;0.659;0.733;0.651;0.587;0.624;0.763;0.008;0.771;"[""0.756"", ""0.854"", ""0.610"", ""0.585"", ""0.732"", ""0.732"", ""0.902""]";"[""0.000"", ""0.840"", ""0.600"", ""0.489"", ""0.000"", ""0.486"", ""0.654""]";"[""0.756"", ""0.875"", ""0.652"", ""0.636"", ""0.732"", ""0.571"", ""0.500""]";"[""1.000"", ""0.778"", ""0.652"", ""0.350"", ""1.000"", ""0.333"", ""0.500""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.390"", ""0.561"", ""0.268"", ""1.000"", ""0.171"", ""0.098""]";"[""-0.244"", ""0.049"", ""0.000"", ""0.220"", ""-0.268"", ""0.122"", ""0.000""]"
106;flags;1;False;meka.classifiers.multilabel.BCC -X Ibf;weka.classifiers.trees.J48 -- -M 6 -B -A -U;29539;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 2.8 -E -P -O 5;16962;success;0.534;0.534;0.683;0.122;0.466;0.317;0.878;0.666;0.268;0.258;0.763;0.838;0.973;0.667;0.681;0.515;0.544;0.674;0.513;0.567;0.6;0.648;0.002;0.65;"[""0.756"", ""0.659"", ""0.561"", ""0.512"", ""0.707"", ""0.683"", ""0.902""]";"[""0.450"", ""0.642"", ""0.563"", ""0.500"", ""0.415"", ""0.153"", ""0.000""]";"[""0.800"", ""0.577"", ""0.632"", ""0.500"", ""0.765"", ""0.333"", ""0.000""]";"[""0.903"", ""0.833"", ""0.522"", ""0.600"", ""0.867"", ""0.083"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.854"", ""0.634"", ""0.463"", ""0.585"", ""0.829"", ""0.073"", ""0.000""]";"[""-0.098"", ""-0.195"", ""0.098"", ""-0.098"", ""-0.098"", ""0.220"", ""0.098""]"
109;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S BestFirst -X 1;53243;success;0.581;0.581;0.728;0.122;0.419;0.272;0.878;0.707;0.244;0.272;0.685;0.529;1.009;0.717;0.717;0.756;0.616;0.717;0.642;0.596;0.609;1.194;0.003;1.197;"[""0.756"", ""0.854"", ""0.512"", ""0.634"", ""0.659"", ""0.756"", ""0.927""]";"[""0.000"", ""0.823"", ""0.475"", ""0.632"", ""0.407"", ""0.491"", ""0.400""]";"[""0.756"", ""0.929"", ""0.560"", ""0.632"", ""0.750"", ""0.667"", ""1.000""]";"[""1.000"", ""0.722"", ""0.609"", ""0.600"", ""0.800"", ""0.333"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.341"", ""0.610"", ""0.463"", ""0.780"", ""0.146"", ""0.024""]";"[""-0.244"", ""0.098"", ""-0.049"", ""0.024"", ""-0.049"", ""0.146"", ""0.073""]"
111;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.PART -- -M 26 -R -N 2;15126;success;0.512;0.512;0.676;0.073;0.488;0.324;0.927;0.685;0.244;0.306;0.664;0.631;1.203;0.683;0.609;0.293;0.429;0.644;0.346;0.481;0.5;0.565;0.004;0.569;"[""0.756"", ""0.561"", ""0.561"", ""0.512"", ""0.732"", ""0.707"", ""0.902""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.000"", ""0.561"", ""0.000"", ""0.732"", ""0.000"", ""0.000""]";"[""1.000"", ""0.000"", ""1.000"", ""0.000"", ""1.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.000"", ""1.000"", ""0.000"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.244"", ""0.439"", ""-0.439"", ""0.488"", ""-0.268"", ""0.293"", ""0.098""]"
112;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -P -O 1;10639;success;0.546;0.546;0.679;0.024;0.454;0.321;0.976;0.69;0.244;0.215;0.801;0.892;0.945;0.642;0.754;0.508;0.575;0.693;0.456;0.491;0.516;0.792;0.001;0.793;"[""0.756"", ""0.585"", ""0.585"", ""0.512"", ""0.707"", ""0.707"", ""0.902""]";"[""0.000"", ""0.105"", ""0.105"", ""0.091"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""1.000"", ""0.575"", ""0.500"", ""0.725"", ""0.000"", ""0.000""]";"[""1.000"", ""0.056"", ""1.000"", ""1.000"", ""0.967"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.024"", ""0.976"", ""0.976"", ""0.976"", ""0.000"", ""0.000""]";"[""-0.244"", ""0.415"", ""-0.415"", ""-0.488"", ""-0.244"", ""0.293"", ""0.098""]"
114;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -C -W 0.31;22430;success;0.481;0.481;0.481;0.024;0.519;0.519;0.976;0.0;0.244;0.685;0.481;1.016;1.016;0.481;1.0;0.481;1.0;0.649;0.617;0.481;0.5;2.618;0.001;2.619;"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""-0.244"", ""-0.561"", ""-0.439"", ""-0.512"", ""-0.268"", ""-0.707"", ""-0.902""]"
115;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S BestFirst -X 1;53243;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S BestFirst -X 1;53243;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
