691;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.rules.JRip -- -N 3.6 -E -O 1;30252.0;success;0.58;0.58;0.714;0.175;0.42;0.286;0.825;0.719;0.3;0.21;0.792;0.551;0.59;0.676;0.748;0.614;0.58;0.71;0.537;0.554;0.57;0.9;0.01;0.91;"[""0.825"", ""0.550"", ""0.475"", ""0.725"", ""0.750"", ""0.775"", ""0.900""]";"[""0.000"", ""0.457"", ""0.000"", ""0.658"", ""0.000"", ""0.000"", ""0.333""]";"[""0.825"", ""0.500"", ""0.475"", ""0.750"", ""0.750"", ""0.000"", ""1.000""]";"[""1.000"", ""0.333"", ""1.000"", ""0.529"", ""1.000"", ""0.000"", ""0.200""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.300"", ""1.000"", ""0.300"", ""1.000"", ""0.000"", ""0.025""]";"[""-0.175"", ""0.150"", ""-0.525"", ""0.125"", ""-0.250"", ""0.225"", ""0.100""]"
692;flags;0;False;meka.classifiers.multilabel.FW;weka.classifiers.rules.JRip -- -N 4.3 -E -O 4;84185.0;success;0.6;0.6;0.739;0.225;0.4;0.261;0.775;0.726;0.175;0.19;0.791;0.25;0.474;0.713;0.74;0.506;0.556;0.727;0.522;0.605;0.638;1.621;0.005;1.626;"[""0.825"", ""0.750"", ""0.600"", ""0.675"", ""0.725"", ""0.725"", ""0.875""]";"[""0.000"", ""0.735"", ""0.556"", ""0.600"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.750"", ""0.556"", ""0.667"", ""0.744"", ""0.000"", ""0.000""]";"[""1.000"", ""0.667"", ""0.789"", ""0.471"", ""0.967"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.400"", ""0.675"", ""0.300"", ""0.975"", ""0.050"", ""0.000""]";"[""-0.175"", ""0.050"", ""-0.200"", ""0.125"", ""-0.225"", ""0.175"", ""0.125""]"
693;flags;0;True;meka.classifiers.multilabel.LC;weka.classifiers.functions.MultilayerPerceptron -- -L 0.2 -M 0.5 -H 7 -B -D;61290.0;success;0.522;0.522;0.682;0.15;0.478;0.318;0.85;0.69;0.2;0.288;0.663;0.619;1.173;0.675;0.618;0.289;0.429;0.645;0.341;0.468;0.5;1.876;0.003;1.879;"[""0.800"", ""0.550"", ""0.475"", ""0.575"", ""0.750"", ""0.750"", ""0.875""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.800"", ""0.000"", ""0.475"", ""0.000"", ""0.750"", ""0.000"", ""0.000""]";"[""1.000"", ""0.000"", ""1.000"", ""0.000"", ""1.000"", ""0.000"", ""0.000""]";"[""0.800"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.250"", ""0.125""]";"[""1.000"", ""0.000"", ""1.000"", ""0.000"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.200"", ""0.450"", ""-0.525"", ""0.425"", ""-0.250"", ""0.250"", ""0.125""]"
694;flags;0;False;meka.classifiers.multilabel.MCC -Iy 80 -Is 873 -P 'Avg precision';weka.classifiers.functions.Logistic -- -R 10.0;1000000000.0;timeout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
695;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142.0;success;0.508;0.508;0.675;0.075;0.492;0.325;0.925;0.616;0.3;0.395;0.644;0.632;1.199;0.661;0.626;0.538;0.529;0.643;0.513;0.517;0.557;0.778;0.002;0.78;"[""0.475"", ""0.700"", ""0.600"", ""0.550"", ""0.750"", ""0.775"", ""0.875""]";"[""0.368"", ""0.633"", ""0.486"", ""0.362"", ""0.000"", ""0.668"", ""0.000""]";"[""0.773"", ""0.750"", ""0.548"", ""0.444"", ""0.750"", ""0.500"", ""0.000""]";"[""0.515"", ""0.500"", ""0.895"", ""0.235"", ""1.000"", ""0.556"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.550"", ""0.300"", ""0.775"", ""0.225"", ""1.000"", ""0.250"", ""0.000""]";"[""0.275"", ""0.150"", ""-0.300"", ""0.200"", ""-0.250"", ""-0.025"", ""0.125""]"
696;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659.0;success;0.535;0.535;0.718;0.15;0.465;0.282;0.85;0.685;0.225;0.198;0.797;0.533;0.862;0.694;0.71;0.68;0.626;0.702;0.636;0.721;0.681;0.584;0.069;0.653;"[""0.650"", ""0.625"", ""0.675"", ""0.600"", ""0.725"", ""0.850"", ""0.900""]";"[""0.240"", ""0.623"", ""0.663"", ""0.529"", ""0.000"", ""0.609"", ""0.567""]";"[""0.806"", ""0.579"", ""0.625"", ""0.538"", ""0.744"", ""0.800"", ""0.667""]";"[""0.758"", ""0.611"", ""0.789"", ""0.412"", ""0.967"", ""0.444"", ""0.400""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.775"", ""0.475"", ""0.600"", ""0.325"", ""0.975"", ""0.125"", ""0.075""]";"[""0.050"", ""-0.025"", ""-0.125"", ""0.100"", ""-0.225"", ""0.100"", ""0.050""]"
697;flags;0;False;meka.classifiers.multilabel.FW;weka.classifiers.rules.JRip -- -N 4.3 -E -O 4;84185;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
698;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
699;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;flags;0;True;meka.classifiers.multilabel.LC;weka.classifiers.functions.MultilayerPerceptron -- -L 0.2 -M 0.5 -H 7 -B -D;61290;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
